"[PL] Sygnatura czasowa","[EN] Timestamp","[PL] KOD","[EN] ParticipantID","[PL] 3. Wybierz obrazek spośród wszystkich zgromadzonych inspiracji (1-20) i wskaż ten, który miał największe znaczenie dla osiągniętego efektu projektowego (finalnej koncepcji), z uwagi na aspekt EFEKTU ZASKOCZENIA:","[EN] 3. Select an image from all the collected inspirations (1-20) and indicate the one that had the greatest significance for the achieved design effect (final concept), in terms of the EFFECT OF SURPRISE:","[PL] 4. Wybierz obrazek spośród wszystkich zgromadzonych inspiracji (1-20) i wskaż ten, który miał największe znaczenie dla osiągniętego efektu projektowego (finalnej koncepcji), z uwagi na aspekt INNOWACYJNOŚCI ROZWIĄZAŃ:","[EN] 4. Select an image from all the collected inspirations (1-20) and indicate the one that had the greatest significance for the achieved design effect (final concept), in terms of the aspect of SOLUTION INNOVATIVENESS:","[PL] 5. Wybierz obrazek spośród wszystkich zgromadzonych inspiracji (1-20) i wskaż ten, który miał największe znaczenie dla osiągniętego efektu projektowego (finalnej koncepcji), z uwagi na aspekt JAKOŚCI WIZUALNEJ:","[EN] 5. Select an image from all the collected inspirations (1-20) and indicate the one that had the greatest significance for the achieved design effect (final concept), in terms of VISUAL QUALITY:","[PL] 6. Wybierz obrazek spośród wszystkich zgromadzonych inspiracji (1-20) i wskaż ten, który miał największe znaczenie dla osiągniętego efektu projektowego (finalnej koncepcji), z uwagi na aspekt NASTROJU SCENY:","[EN] 6. Select an image from all the collected inspirations (1-20) and indicate the one that had the greatest significance for the achieved design effect (final concept), in terms of the SCENE MOOD:","[PL] 7. Wybierz obrazek spośród wszystkich zgromadzonych inspiracji (1-20) i wskaż ten, który miał największe znaczenie dla osiągniętego efektu projektowego (finalnej koncepcji), z uwagi na aspekt KOLORYSTYKI:","[EN] 7. Select an image from all the collected inspirations (1-20) and indicate the one that had the greatest significance for the achieved design effect (final concept), in terms of COLOURS:","[PL] 8. Wybierz obrazek spośród wszystkich zgromadzonych inspiracji (1-20) i wskaż ten, który miał największe znaczenie dla osiągniętego efektu projektowego (finalnej koncepcji), z uwagi na aspekt ZESTAWIEŃ MATERIAŁOWYCH:","[EN] 8. Select an image from all the collected inspirations (1-20) and indicate the one that had the greatest significance for the achieved design effect (final concept), in terms of MATERIAL COMBINATIONS:","[PL] 9. Wybierz obrazek spośród wszystkich zgromadzonych inspiracji (1-20) i wskaż ten, który miał największe znaczenie dla CAŁOKSZTAŁTU osiągniętego efektu projektowego (finalnej koncepcji).","[EN] 9. Select an image from all the collected inspirations (1-20) and indicate the one that had the greatest significance for the TOTAL achieved design effect (final concept).","[PL] 10. Miejsce na dodatkowe komentarze/ uwagi:","[EN] 10. Space for additional comments/notes:"
"2024/06/11 1:20:22 PM EEST","2024/06/11 1:20:22 PM EEST","10A","10A",12,12,1,1,12,12,7,7,2,2,5,5,12,12,,
"2024/06/11 1:24:30 PM EEST","2024/06/11 1:24:30 PM EEST","9B","9B",17,17,17,17,17,17,14,14,13,13,13,13,13,13,,
"2024/06/11 1:27:32 PM EEST","2024/06/11 1:27:32 PM EEST","12B","12B",13,13,12,12,14,14,14,14,11,11,3,3,11,11,,
"2024/06/11 1:28:45 PM EEST","2024/06/11 1:28:45 PM EEST","14B","14B",13,13,18,18,18,18,6,6,7,7,19,19,19,19,,
"2024/06/11 1:28:57 PM EEST","2024/06/11 1:28:57 PM EEST","15B","15B",16,16,2,2,16,16,12,12,16,16,2,2,16,16,,
"2024/06/11 1:29:08 PM EEST","2024/06/11 1:29:08 PM EEST","16A","16A",12,12,10,10,4,4,14,14,1,1,2,2,3,3,,
"2024/06/11 1:29:28 PM EEST","2024/06/11 1:29:28 PM EEST","9A","9A",14,14,12,12,14,14,12,12,14,14,14,14,14,14,,
"2024/06/11 1:36:24 PM EEST","2024/06/11 1:36:24 PM EEST","16B","16B",9,9,9,9,10,10,9,9,3,3,9,9,9,9,,
"2024/06/11 1:37:54 PM EEST","2024/06/11 1:37:54 PM EEST","12A","12A",4,4,9,9,1,1,2,2,6,6,8,8,8,8,,
"2024/06/11 1:41:21 PM EEST","2024/06/11 1:41:21 PM EEST","11A","11A",14,14,13,13,11,11,18,18,13,13,16,16,6,6,,
"2024/06/11 1:50:03 PM EEST","2024/06/11 1:50:03 PM EEST","8A","8A",18,18,18,18,12,12,18,18,15,15,15,15,15,15,,
"2024/06/11 1:50:44 PM EEST","2024/06/11 1:50:44 PM EEST","14A","14A",13,13,2,2,11,11,6,6,12,12,6,6,13,13,,
"2024/06/11 1:50:47 PM EEST","2024/06/11 1:50:47 PM EEST","8B","8B",4,4,15,15,18,18,12,12,9,9,6,6,12,12,,
"2024/06/11 3:25:10 PM EEST","2024/06/11 3:25:10 PM EEST","23B","23B",7,7,2,2,10,10,7,7,10,10,2,2,4,4,,
"2024/06/11 3:25:23 PM EEST","2024/06/11 3:25:23 PM EEST","24B","24B",15,15,14,14,19,19,2,2,12,12,15,15,16,16,,
"2024/06/11 3:25:40 PM EEST","2024/06/11 3:25:40 PM EEST","23A","23A",12,12,14,14,10,10,6,6,11,11,3,3,12,12,,
"2024/06/11 3:26:33 PM EEST","2024/06/11 3:26:33 PM EEST","21A","21A",20,20,12,12,11,11,16,16,11,11,11,11,19,19,,
"2024/06/11 3:26:33 PM EEST","2024/06/11 3:26:33 PM EEST",25,25,12,12,19,19,16,16,20,20,17,17,12,12,19,19,,
"2024/06/11 3:27:03 PM EEST","2024/06/11 3:27:03 PM EEST","20B","20B",14,14,18,18,14,14,14,14,13,13,15,15,14,14,,
"2024/06/11 3:28:24 PM EEST","2024/06/11 3:28:24 PM EEST","21B","21B",14,14,13,13,4,4,14,14,5,5,5,5,12,12,,
"2024/06/11 3:29:17 PM EEST","2024/06/11 3:29:17 PM EEST","20A","20A",11,11,4,4,11,11,11,11,14,14,12,12,11,11,,
"2024/06/11 3:29:38 PM EEST","2024/06/11 3:29:38 PM EEST",27,27,15,15,11,11,3,3,16,16,8,8,1,1,16,16,"Ogólnie każdy z obrazków coś wniósł do projektu chociaż kolorystycznie","In general, each of the pictures contributed something to the project, even if only in terms of color."
"2024/06/11 3:35:28 PM EEST","2024/06/11 3:35:28 PM EEST","19B","19B",13,13,14,14,12,12,12,12,12,12,2,2,11,11,,
"2024/06/11 3:35:41 PM EEST","2024/06/11 3:35:41 PM EEST","24A","24A",2,2,4,4,9,9,2,2,12,12,7,7,13,13,,
"2024/06/11 3:37:58 PM EEST","2024/06/11 3:37:58 PM EEST","19A","19A",3,3,4,4,3,3,9,9,3,3,18,18,4,4,"Mimo wielu inspiracji, efekt końcowy okazał się trochę inny","Despite many inspirations, the final effect turned out to be a bit different"
"2024/06/11 3:38:50 PM EEST","2024/06/11 3:38:50 PM EEST","17B","17B",2,2,8,8,18,18,7,7,2,2,19,19,12,12,,
"2024/06/11 3:45:14 PM EEST","2024/06/11 3:45:14 PM EEST","17A","17A",13,13,13,13,8,8,7,7,1,1,1,1,7,7,,
"2024/06/11 6:57:26 PM EEST","2024/06/11 6:57:26 PM EEST","18B","18B",4,4,4,4,12,12,14,14,14,14,4,4,4,4,,
"2024/06/11 7:13:05 PM EEST","2024/06/11 7:13:05 PM EEST","18A","18A",7,7,15,15,15,15,14,14,8,8,7,7,15,15,,
"2024/06/11 7:15:23 PM EEST","2024/06/11 7:15:23 PM EEST","11B","11B",8,8,14,14,14,14,15,15,12,12,14,14,14,14,,
"2024/06/11 8:37:26 PM EEST","2024/06/11 8:37:26 PM EEST","22A","22A",16,16,5,5,8,8,3,3,16,16,7,7,6,6,,
